date,device_category,source,medium,source_medium,channel_group,sessions,view_item_sessions,add_to_cart_sessions,checkout_sessions,purchase_sessions,session_to_view_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,session_to_purchase_rate
2020-11-01,desktop,(direct),(none),(direct) / (none),Direct,347,69,0,12,2,0.1988472622478386,0.0,,0.16666666666666666,0.005763688760806916
2020-11-01,desktop,<Other>,organic,<Other> / organic,Organic Search,50,13,0,2,0,0.26,0.0,,0.0,0.0
2020-11-01,desktop,google,organic,google / organic,Organic Search,496,96,0,14,2,0.1935483870967742,0.0,,0.14285714285714285,0.004032258064516129
2020-11-01,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,75,16,0,5,1,0.21333333333333335,0.0,,0.2,0.013333333333333334
2020-11-01,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,1,1,0,0,0,1.0,0.0,,,0.0
2020-11-01,desktop,<Other>,<Other>,<Other> / <Other>,Other,201,29,0,5,0,0.14427860696517414,0.0,,0.0,0.0
2020-11-01,desktop,google,cpc,google / cpc,Paid Search,68,12,0,2,0,0.17647058823529413,0.0,,0.0,0.0
2020-11-01,desktop,<Other>,referral,<Other> / referral,Referral,164,32,0,6,2,0.1951219512195122,0.0,,0.3333333333333333,0.012195121951219513
2020-11-01,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,126,35,0,12,2,0.2777777777777778,0.0,,0.16666666666666666,0.015873015873015872
2020-11-01,mobile,(direct),(none),(direct) / (none),Direct,265,62,0,11,3,0.2339622641509434,0.0,,0.2727272727272727,0.011320754716981131
2020-11-01,mobile,<Other>,organic,<Other> / organic,Organic Search,34,6,0,1,0,0.17647058823529413,0.0,,0.0,0.0
2020-11-01,mobile,google,organic,google / organic,Organic Search,323,71,0,8,0,0.21981424148606812,0.0,,0.0,0.0
2020-11-01,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,52,11,0,1,0,0.21153846153846154,0.0,,0.0,0.0
2020-11-01,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,2,1,0,0,0,0.5,0.0,,,0.0
2020-11-01,mobile,<Other>,<Other>,<Other> / <Other>,Other,157,36,0,8,1,0.22929936305732485,0.0,,0.125,0.006369426751592357
2020-11-01,mobile,google,cpc,google / cpc,Paid Search,38,8,0,2,0,0.21052631578947367,0.0,,0.0,0.0
2020-11-01,mobile,<Other>,referral,<Other> / referral,Referral,90,13,0,2,0,0.14444444444444443,0.0,,0.0,0.0
2020-11-01,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,86,14,1,4,0,0.16279069767441862,0.07142857142857142,4.0,0.0,0.0
2020-11-01,tablet,(direct),(none),(direct) / (none),Direct,6,1,0,0,0,0.16666666666666666,0.0,,,0.0
2020-11-01,tablet,<Other>,organic,<Other> / organic,Organic Search,5,3,0,0,0,0.6,0.0,,,0.0
2020-11-01,tablet,google,organic,google / organic,Organic Search,10,3,0,0,0,0.3,0.0,,,0.0
2020-11-01,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,2,1,0,0,0,0.5,0.0,,,0.0
2020-11-01,tablet,<Other>,<Other>,<Other> / <Other>,Other,13,0,0,0,0,0.0,,,,0.0
2020-11-01,tablet,google,cpc,google / cpc,Paid Search,2,1,0,0,0,0.5,0.0,,,0.0
2020-11-01,tablet,<Other>,referral,<Other> / referral,Referral,6,2,0,0,0,0.3333333333333333,0.0,,,0.0
2020-11-01,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,6,1,0,0,0,0.16666666666666666,0.0,,,0.0
2020-11-02,desktop,(direct),(none),(direct) / (none),Direct,482,112,0,12,4,0.23236514522821577,0.0,,0.3333333333333333,0.008298755186721992
2020-11-02,desktop,<Other>,organic,<Other> / organic,Organic Search,62,10,0,3,1,0.16129032258064516,0.0,,0.3333333333333333,0.016129032258064516
2020-11-02,desktop,google,organic,google / organic,Organic Search,619,145,0,32,6,0.23424878836833601,0.0,,0.1875,0.009693053311793215
2020-11-02,desktop,(data deleted),(data deleted),(data deleted) / (data deleted),Other,153,33,0,9,5,0.21568627450980393,0.0,,0.5555555555555556,0.032679738562091505
2020-11-02,desktop,<Other>,(data deleted),<Other> / (data deleted),Other,5,2,0,0,0,0.4,0.0,,,0.0
2020-11-02,desktop,<Other>,<Other>,<Other> / <Other>,Other,326,62,0,10,2,0.1901840490797546,0.0,,0.2,0.006134969325153374
2020-11-02,desktop,google,cpc,google / cpc,Paid Search,93,23,0,1,1,0.24731182795698925,0.0,,1.0,0.010752688172043012
2020-11-02,desktop,<Other>,referral,<Other> / referral,Referral,224,46,0,7,2,0.20535714285714285,0.0,,0.2857142857142857,0.008928571428571428
2020-11-02,desktop,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,195,48,0,8,3,0.24615384615384617,0.0,,0.375,0.015384615384615385
2020-11-02,mobile,(direct),(none),(direct) / (none),Direct,338,76,0,7,3,0.22485207100591717,0.0,,0.42857142857142855,0.008875739644970414
2020-11-02,mobile,<Other>,organic,<Other> / organic,Organic Search,48,7,0,0,0,0.14583333333333334,0.0,,,0.0
2020-11-02,mobile,google,organic,google / organic,Organic Search,462,97,0,18,3,0.20995670995670995,0.0,,0.16666666666666666,0.006493506493506494
2020-11-02,mobile,(data deleted),(data deleted),(data deleted) / (data deleted),Other,116,23,0,6,2,0.19827586206896552,0.0,,0.3333333333333333,0.017241379310344827
2020-11-02,mobile,<Other>,(data deleted),<Other> / (data deleted),Other,2,0,0,0,0,0.0,,,,0.0
2020-11-02,mobile,<Other>,<Other>,<Other> / <Other>,Other,194,38,0,2,0,0.1958762886597938,0.0,,0.0,0.0
2020-11-02,mobile,google,cpc,google / cpc,Paid Search,77,19,0,4,1,0.24675324675324675,0.0,,0.25,0.012987012987012988
2020-11-02,mobile,<Other>,referral,<Other> / referral,Referral,136,32,0,4,2,0.23529411764705882,0.0,,0.5,0.014705882352941176
2020-11-02,mobile,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,127,25,0,5,4,0.1968503937007874,0.0,,0.8,0.031496062992125984
2020-11-02,tablet,(direct),(none),(direct) / (none),Direct,12,3,0,0,0,0.25,0.0,,,0.0
2020-11-02,tablet,<Other>,organic,<Other> / organic,Organic Search,2,1,0,0,0,0.5,0.0,,,0.0
2020-11-02,tablet,google,organic,google / organic,Organic Search,26,6,0,0,0,0.23076923076923078,0.0,,,0.0
2020-11-02,tablet,(data deleted),(data deleted),(data deleted) / (data deleted),Other,5,0,0,0,0,0.0,,,,0.0
2020-11-02,tablet,<Other>,<Other>,<Other> / <Other>,Other,11,4,0,1,1,0.36363636363636365,0.0,,1.0,0.09090909090909091
2020-11-02,tablet,google,cpc,google / cpc,Paid Search,6,3,0,1,0,0.5,0.0,,0.0,0.0
2020-11-02,tablet,<Other>,referral,<Other> / referral,Referral,4,1,0,0,0,0.25,0.0,,,0.0
2020-11-02,tablet,shop.googlemerchandisestore.com,referral,shop.googlemerchandisestore.com / referral,Referral,6,3,0,0,0,0.5,0.0,,,0.0
2020-11-03,desktop,(direct),(none),(direct) / (none),Direct,729,115,0,19,6,0.15775034293552812,0.0,,0.3157894736842105,0.00823045267489712
2020-11-03,desktop,<Other>,organic,<Other> / organic,Organic Search,71,11,0,1,0,0.15492957746478872,0.0,,0.0,0.0
2020-11-03,desktop,google,organic,google / organic,Organic Search,1000,194,0,22,5,0.194,0.0,,0.22727272727272727,0.005
